study	sample	experiment	run	ftp	name
SRP026126	SRS445956	SRX307096	SRR903175	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307096/SRR903175/SRR903175.sra	ABRF_ILMN_RIBO_D_4_2
SRP026126	SRS445925	SRX307066	SRR902965	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307066/SRR902965/SRR902965.sra	ABRF_ILMN_M_AS_1_1
SRP026126	SRS445940	SRX307081	SRR903055	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307081/SRR903055/SRR903055.sra	ABRF_ILMN_RIBO_A_1_0
SRP026126	SRS445941	SRX307082	SRR903064	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307082/SRR903064/SRR903064.sra	ABRF_ILMN_RIBO_A_2_2
SRP026126	SRS445951	SRX307093	SRR903147	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307093/SRR903147/SRR903147.sra	ABRF_ILMN_RIBO_D_1_2
SRP026126	SRS445951	SRX307093	SRR903146	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307093/SRR903146/SRR903146.sra	ABRF_ILMN_RIBO_D_1_3
SRP026126	SRS445956	SRX307096	SRR903170	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307096/SRR903170/SRR903170.sra	ABRF_ILMN_RIBO_D_4_3
SRP026126	SRS445951	SRX307093	SRR903151	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307093/SRR903151/SRR903151.sra	ABRF_ILMN_RIBO_D_1_4
SRP026126	SRS445956	SRX307096	SRR903177	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307096/SRR903177/SRR903177.sra	ABRF_ILMN_RIBO_D_4_4
SRP026126	SRS445944	SRX307085	SRR903087	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307085/SRR903087/SRR903087.sra	ABRF_ILMN_RIBO_B_1_0
SRP026126	SRS445924	SRX307064	SRR902952	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307064/SRR902952/SRR902952.sra	ABRF_ILMN_M_AH_2_2
SRP026126	SRS445940	SRX307081	SRR903053	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307081/SRR903053/SRR903053.sra	ABRF_ILMN_RIBO_A_1_1
SRP026126	SRS445950	SRX307091	SRR903136	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307091/SRR903136/SRR903136.sra	ABRF_ILMN_RIBO_C_3_1
SRP026126	SRS445947	SRX307088	SRR903109	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307088/SRR903109/SRR903109.sra	ABRF_ILMN_RIBO_B_4_0
SRP026126	SRS445950	SRX307091	SRR903135	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307091/SRR903135/SRR903135.sra	ABRF_ILMN_RIBO_C_3_2
SRP026126	SRS445941	SRX307082	SRR903062	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307082/SRR903062/SRR903062.sra	ABRF_ILMN_RIBO_A_2_3
SRP026126	SRS445941	SRX307082	SRR903063	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307082/SRR903063/SRR903063.sra	ABRF_ILMN_RIBO_A_2_4
SRP026126	SRS445941	SRX307082	SRR903061	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307082/SRR903061/SRR903061.sra	ABRF_ILMN_RIBO_A_2_5
SRP026126	SRS445951	SRX307093	SRR903152	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307093/SRR903152/SRR903152.sra	ABRF_ILMN_RIBO_D_1_5
SRP026126	SRS445951	SRX307093	SRR903149	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307093/SRR903149/SRR903149.sra	ABRF_ILMN_RIBO_D_1_6
SRP026126	SRS445941	SRX307082	SRR903065	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307082/SRR903065/SRR903065.sra	ABRF_ILMN_RIBO_A_2_6
